bounding_rect.aspect_ratio,rotated_rect.rotated_angle,contour_feature.grayscale,contour_feature.point_areas,label
0.5555555555555556,0.10513695610894097,1.0,0.00830078125,0
0.3333333333333333,0.0,1.0,0.013427734375,0
0.375,0.0,1.0,0.029052734375,0
0.24324324324324326,0.09033448961046008,1.0,0.06982421875,0
0.24324324324324326,0.0,1.0,0.078125,0
0.5,0.0,1.0,0.008056640625,0
0.3333333333333333,0.0,1.0,0.013427734375,0
0.375,0.0,1.0,0.0283203125,0
0.21428571428571427,0.07916683620876735,1.0,0.08935546875,0
0.2222222222222222,0.0,1.0,0.1259765625,0
0.23529411764705882,0.0,1.0,0.012939453125,0
0.5833333333333334,0.15595821804470486,1.0,0.02001953125,0
0.225,0.0,1.0,0.1162109375,0
0.5,0.0,1.0,0.013427734375,0
0.2857142857142857,0.0,1.0,0.01318359375,0
0.375,0.0,1.0,0.02783203125,0
0.25,0.0791668521033393,1.0,0.010498046875,0
0.27586206896551724,0.0,1.0,0.070068359375,0
0.35,0.15595821804470486,1.0,0.027587890625,0
0.2571428571428571,0.0,1.0,0.081787109375,0
0.23076923076923078,0.09033448961046008,1.0,0.033447265625,0
0.36363636363636365,0.0,1.0,0.01025390625,0
0.45454545454545453,0.0,1.0,0.01318359375,0
0.23076923076923078,0.0,1.0,0.04052734375,0
0.28,0.0,1.0,0.0419921875,0
0.375,0.20483279758029513,1.0,0.01953125,0
0.3076923076923077,0.0,1.0,0.01123046875,0
0.3333333333333333,0.0,1.0,0.027587890625,0
0.25,0.0,1.0,0.070068359375,0
0.21951219512195122,0.0,1.0,0.123779296875,0
0.21052631578947367,0.0,1.0,0.097900390625,0
0.23255813953488372,0.07313274807400173,1.0,0.091796875,0
0.3076923076923077,0.0,1.0,0.011474609375,0
0.35294117647058826,0.0,1.0,0.0263671875,0
0.46153846153846156,0.20483279758029513,1.0,0.018310546875,0
0.3076923076923077,0.0,1.0,0.013427734375,0
0.2777777777777778,0.0,1.0,0.025634765625,0
0.3333333333333333,0.0,1.0,0.01171875,0
0.29411764705882354,0.0,1.0,0.01904296875,0
0.25,0.06345104111565483,1.0,0.078125,0
0.45454545454545453,0.0,1.0,0.01318359375,0
0.2857142857142857,0.0,1.0,0.01220703125,0
0.3333333333333333,0.0,1.0,0.030517578125,0
0.38461538461538464,0.0634510358174642,1.0,0.0107421875,0
0.2727272727272727,0.15595821804470486,1.0,0.075439453125,0
0.5,0.0,1.0,0.013916015625,0
0.2857142857142857,0.0,1.0,0.01220703125,0
0.3333333333333333,0.0,1.0,0.031005859375,0
0.2,0.0,1.0,0.114990234375,0
0.2222222222222222,0.0,1.0,0.1240234375,0
0.46153846153846156,0.0,1.0,0.022216796875,0
0.26666666666666666,0.0,1.0,0.013671875,0
0.25,0.0,1.0,0.11767578125,0
0.6666666666666666,0.20483279758029513,1.0,0.013671875,0
0.23404255319148937,0.07916683620876735,1.0,0.104248046875,0
0.2549019607843137,0.10513695610894097,1.0,0.14453125,0
0.5555555555555556,0.0,1.0,0.012939453125,0
0.6153846153846154,0.29516720241970484,1.0,0.020751953125,0
0.23076923076923078,0.0,1.0,0.010498046875,0
0.3333333333333333,0.0,1.0,0.026123046875,0
0.2,0.0,1.0,0.33837890625,0
0.19402985074626866,0.03973702324761285,1.0,0.278076171875,0
0.30434782608695654,0.15595821804470486,1.0,0.0283203125,0
0.3076923076923077,0.0,1.0,0.01318359375,0
0.3333333333333333,0.0,1.0,0.02587890625,0
0.23076923076923078,0.0,1.0,0.01025390625,0
0.35294117647058826,0.0,1.0,0.028076171875,0
0.5,0.0,1.0,0.0078125,0
0.29411764705882354,0.1051369137234158,1.0,0.01953125,0
0.2571428571428571,0.09033447901407878,1.0,0.08349609375,0
0.4,0.0,1.0,0.023193359375,0
0.3333333333333333,0.0,1.0,0.010986328125,0
0.3157894736842105,0.0,1.0,0.0283203125,0
0.3333333333333333,0.0,1.0,0.0146484375,0
0.375,0.0,1.0,0.026611328125,0
0.3333333333333333,0.09033446841769749,1.0,0.035400390625,0
0.30303030303030304,0.20483279758029513,1.0,0.068603515625,0
0.3333333333333333,0.0,1.0,0.01025390625,0
0.3333333333333333,0.0,1.0,0.012939453125,0
0.375,0.0,1.0,0.02783203125,0
0.46153846153846156,0.0,1.0,0.025390625,0
0.4166666666666667,0.0,1.0,0.012939453125,0
0.375,0.0,1.0,0.02783203125,0
0.34615384615384615,0.1051369137234158,1.0,0.064453125,0
0.4,0.20483279758029513,1.0,0.03173828125,0
0.2727272727272727,0.0,1.0,0.0810546875,0
0.21052631578947367,0.0,1.0,0.089599609375,0
0.32,0.0,1.0,0.0625,0
0.42105263157894735,0.15595821804470486,1.0,0.035400390625,0
0.3333333333333333,0.0,1.0,0.09326171875,0
0.36,0.12566587660047743,1.0,0.47900390625,0
4.25,0.9295534239874945,1.0,0.074462890625,0
0.3076923076923077,0.0,1.0,0.013671875,0
0.2777777777777778,0.0,1.0,0.026611328125,0
0.25,0.0,1.0,0.083740234375,0
0.2,0.0,1.0,0.0419921875,0
0.2608695652173913,0.0,1.0,0.043701171875,0
0.23809523809523808,0.0,1.0,0.130615234375,0
0.23404255319148937,0.0,1.0,0.16455078125,0
0.21739130434782608,0.0,1.0,0.029052734375,0
0.4117647058823529,0.1051369137234158,1.0,0.030029296875,0
0.3333333333333333,0.0,1.0,0.01318359375,0
0.375,0.0,1.0,0.026123046875,0
0.4,0.0,1.0,0.025634765625,0
0.23076923076923078,0.0,1.0,0.01025390625,0
0.35294117647058826,0.0,1.0,0.02880859375,0
0.225,0.052929353713989255,1.0,0.104248046875,0
0.2903225806451613,0.15595821804470486,1.0,0.045654296875,0
0.23404255319148937,0.12566587660047743,1.0,0.10693359375,0
0.2653061224489796,0.12566587660047743,1.0,0.135009765625,0
0.4166666666666667,0.0,1.0,0.015625,0
0.7,0.3743340386284722,1.0,0.015380859375,0
0.21428571428571427,0.0,1.0,0.0107421875,0
0.375,0.0,1.0,0.02685546875,0
0.3076923076923077,0.0,1.0,0.013427734375,0
0.29411764705882354,0.0,1.0,0.021728515625,0
0.25,0.0791668521033393,1.0,0.088623046875,0
0.21951219512195122,0.07044652303059896,1.0,0.0869140625,0
0.21739130434782608,0.0,1.0,0.12939453125,0
0.4444444444444444,0.0,1.0,0.00830078125,0
0.2857142857142857,0.0,1.0,0.013916015625,0
0.5454545454545454,0.0,1.0,0.0185546875,0
0.225,0.0,1.0,0.115478515625,0
0.2608695652173913,0.0791668521033393,1.0,0.034423828125,0
0.22727272727272727,0.0,1.0,0.138671875,0
0.3333333333333333,0.0,1.0,0.012939453125,0
0.29411764705882354,0.0,1.0,0.01953125,0
0.25,0.09033446841769749,1.0,0.0908203125,0
0.46153846153846156,0.15595821804470486,1.0,0.01806640625,0
0.25,0.0,1.0,0.01025390625,0
0.375,0.0,1.0,0.025634765625,0
0.42857142857142855,0.0,1.0,0.025146484375,0
0.25,0.0,1.0,0.009521484375,0
0.3333333333333333,0.0,1.0,0.02734375,0
0.1956521739130435,0.0,1.0,0.12646484375,0
0.21739130434782608,0.0,1.0,0.134521484375,0
0.42857142857142855,0.0,1.0,0.024169921875,0
0.26666666666666666,0.0,1.0,0.015625,0
0.25,0.0,1.0,0.116943359375,0
