bounding_rect.y_diff,bounding_rect.width_diff,bounding_rect.height_diff,rotated_rect.rotated_angle_left,rotated_rect.rotated_angle_right,rotated_rect.rotated_angle_diff,contour_feature.ratio_small,contour_feature.ratio_large,label
0.155,0.015,0.025,0.139208984375,0.10513695610894097,0.034072028266059026,0.19082474226804136,2.839175257731959,0
0.655,0.025,0.175,0.10513695610894097,0.0,0.10513695610894097,0.39807017543859624,3.4280701754385965,2
0.04,0.015,0.02,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.14,0.005,0.01,0.10513695610894097,0.12566587660047743,0.02052892049153646,0.19956521739130428,2.830434782608696,0
0.6,0.025,0.17,0.12566587660047743,0.0,0.12566587660047743,0.3128571428571427,3.342857142857143,2
0.02,0.0,0.01,0.0,0.0,0.0,0.3684615384615384,2.661538461538462,0
0.095,0.005,0.005,0.07044652303059896,0.09033448961046008,0.01988796657986111,0.2239393939393941,2.806060606060606,1
0.56,0.03,0.175,0.07044652303059896,0.0,0.07044652303059896,3.8453846153846154,0.8153846153846152,2
0.135,0.005,0.01,0.05771586100260417,0.10513695610894097,0.047421095106336804,0.18483870967741955,2.8451612903225807,1
0.715,0.03,0.2,0.05771586100260417,0.1256659189860026,0.18338177998860677,3.4811627906976748,0.4511627906976745,2
0.04,0.02,0.105,0.0,0.0,0.0,1.0756140350877192,1.954385964912281,0
0.04,0.01,0.02,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.155,0.02,0.155,0.0,0.17717106077406142,0.17717106077406142,2.7030158730158726,0.3269841269841276,2
0.03,0.015,0.06,0.0,0.0,0.0,0.7744444444444447,2.2555555555555555,0
0.08,0.025,0.13,0.0,0.0,0.0,1.4838461538461543,1.546153846153846,0
0.07,0.005,0.005,0.0,0.06345104641384548,0.06345104641384548,0.21461538461538465,2.8153846153846156,0
0.585,0.015,0.165,0.06345104641384548,0.0,0.06345104641384548,0.864915254237288,3.8949152542372882,2
0.035,0.005,0.02,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.04,0.005,0.0,0.0,0.0,0.0,3.83,0.7999999999999998,0
0.055,0.095,0.165,0.20483279758029513,0.0,0.20483279758029513,4.194705882352941,1.1647058823529406,2
0.035,0.01,0.02,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.04,0.015,0.025,0.0,0.0,0.0,2.700967741935484,0.3290322580645162,0
0.03,0.01,0.02,0.0,0.0,0.0,3.676153846153846,0.6461538461538456,0
0.04,0.015,0.02,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.05,0.005,0.0,0.0,0.0,0.0,2.83,0.20000000000000018,0
0.005,0.025,0.08,0.0,0.0,0.0,1.455,1.5750000000000002,0
0.035,0.01,0.015,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.035,0.015,0.02,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.07,0.0,0.005,0.0,0.0,0.0,0.3608641975308644,2.669135802469136,1
0.54,0.015,0.145,0.0,0.0,0.0,0.5662264150943397,3.59622641509434,2
0.16,0.005,0.015,0.09033448961046008,0.12566587660047743,0.03533138699001736,0.21562091503267977,2.8143790849673205,1
0.935,0.05,0.225,0.09033448961046008,0.1256659189860026,0.21600040859646266,3.208378378378378,0.1783783783783779,2
0.04,0.015,0.03,0.0,0.0,0.0,2.5175,0.5125000000000002,0
0.04,0.005,0.03,0.10513695610894097,0.0,0.10513695610894097,2.963333333333334,0.06666666666666643,0
0.05,0.005,0.005,0.0,0.0,0.0,3.5707407407407405,0.5407407407407403,0
0.03,0.005,0.015,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
