bounding_rect.y_diff,bounding_rect.width_diff,bounding_rect.height_diff,rotated_rect.rotated_angle_left,rotated_rect.rotated_angle_right,rotated_rect.rotated_angle_diff,contour_feature.ratio_small,contour_feature.ratio_large,label
0.405,0.08,0.22,0.15595821804470486,0.7048327975802952,0.860791015625,0.11444444444444457,3.144444444444445,2
0.11,0.05,0.005,0.15595821804470486,0.027661697069803873,0.18361991511450873,3.473478260869565,0.4434782608695649,2
0.04,0.11,0.02,0.7048327975802952,1.0,1.704832797580295,4.83,1.7999999999999998,2
0.255,0.08,0.235,1.0,0.027661697069803873,1.0276616970698038,3.5165671641791043,0.48656716417910406,2
0.045,0.03,0.035,0.0,0.027661697069803873,0.027661697069803873,0.5749586776859505,3.604958677685951,0
0.085,0.04,0.045,0.06141713460286458,0.07916683620876735,0.01774970160590278,0.7594039735099338,3.789403973509934,0
0.075,0.045,0.03,0.06141713460286458,0.13438618977864583,0.1958033243815104,3.694864864864865,0.6648648648648647,2
0.16,0.005,0.015,0.07916683620876735,0.13438618977864583,0.2135530259874132,1.3013375796178348,1.7286624203821654,2
0.665,0.235,0.225,0.7856661478678385,0.13438618977864583,0.6512799580891927,1.01348623853211,2.0165137614678903,2
0.015,0.015,0.02,0.0,0.0,0.0,0.52,3.5500000000000003,0
0.065,0.09,0.045,0.07044652303059896,0.1866485595703125,0.11620203653971355,0.49934131736526943,3.5293413173652697,0
0.24,0.065,0.11,0.1866485595703125,0.1392089525858561,0.3258575121561686,0.16766233766233762,2.8623376623376626,2
0.085,0.005,0.095,0.20483279758029513,0.0,0.20483279758029513,4.1838461538461535,1.1538461538461533,2
0.01,0.02,0.01,0.07044657071431477,0.0,0.07044657071431477,0.3793023255813952,3.4093023255813955,0
0.45,0.095,0.2,0.07044657071431477,0.9772732204861111,0.9068266497717963,2.913333333333333,0.11666666666666714,2
0.03,0.02,0.03,0.0,0.03347540961371528,0.03347540961371528,0.48999999999999977,3.52,0
0.225,0.015,0.18,0.0,0.894863043891059,0.894863043891059,2.5886206896551727,0.4413793103448276,2
0.655,0.035,0.22,0.03347540961371528,0.5903344472249349,0.6238098568386502,2.894516129032258,0.13548387096774217,2
0.075,0.09,0.035,0.06562389797634549,0.15595821804470486,0.09033432006835937,0.4912121212121212,3.5212121212121215,0
0.25,0.065,0.095,0.15595821804470486,0.1256659189860026,0.2816241370307075,0.21562091503267977,2.8143790849673205,2
0.105,0.01,0.13,0.15595821804470486,0.0,0.15595821804470486,3.6014285714285714,0.5714285714285712,2
0.005,0.015,0.0,0.0,0.0,0.0,0.3158333333333334,3.3458333333333337,0
0.03,0.035,0.205,0.0,0.5,0.5,0.29727272727272736,3.3272727272727276,2
0.105,0.06,0.065,0.09033448961046008,0.09033448961046008,0.0,0.8681132075471698,3.89811320754717,0
0.09,0.04,0.005,0.09033448961046008,0.1051369137234158,0.19547140333387586,3.3061904761904763,0.2761904761904761,2
0.015,0.02,0.06,0.09033448961046008,0.1051369137234158,0.19547140333387586,0.8799999999999999,2.1500000000000004,2
0.02,0.01,0.02,0.05771586100260417,0.0,0.05771586100260417,0.5033333333333334,3.5333333333333337,0
0.125,0.005,0.06,0.0,0.14438462787204318,0.14438462787204318,0.29000000000000004,2.74,2
0.35,0.005,0.24,0.16950132581922744,1.0,0.8304986741807726,2.708787878787879,0.3212121212121213,2
1.07,0.055,0.27,1.0,0.0,1.0,1.7693939393939395,1.2606060606060607,2
0.075,0.03,0.015,0.0,0.03029234144422743,0.03029234144422743,0.43495726495726483,3.464957264957265,0
0.21,0.055,0.24,0.0,0.03029234144422743,0.03029234144422743,0.6178787878787881,2.412121212121212,2
0.075,0.035,0.03,0.10513695610894097,0.06345104641384548,0.04168590969509549,0.6377419354838709,3.667741935483871,0
